#   ******************************************************************************
#   * Copyright  2017  Department of Biomedical Informatics, University of Utah
#   * <p>
#   * Licensed under the Apache License, Version 2.0 (the "License");
#   * you may not use this file except in compliance with the License.
#   * You may obtain a copy of the License at
#   * <p>
#   * http://www.apache.org/licenses/LICENSE-2.0
#   * <p>
#   * Unless required by applicable law or agreed to in writing, software
#   * distributed under the License is distributed on an "AS IS" BASIS,
#   * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
#   * See the License for the specific language governing permissions and
#   * limitations under the License.
#   ******************************************************************************
#   Special thanks to Olga Patterson and Guy Divita for contributing rules as part of this rule set


#Define which features will be assigned values in an annotation type ("Concept" in this case)
@CONCEPT_FEATURES|Concept|Negation|Certainty|Temporality|Experiencer
#Define the values that a feature can have, the 1st value is the default value
#The following definitions will be used as an index for FastContext to find the corresponding Feature to assign the modifier
#value, once a modifier value is available.
#In this case the "Negation" feature has two values: "affirm" and "negated", "affirm" is the default value.
@FEATURE_VALUES|Negation|affirm|negated
@FEATURE_VALUES|Certainty|certain|uncertain
no \w+ evid to suggest|forward|trigger|negated|10
no \w+ evid to|backward|termination|negated|10
no \w+ evid to|forward|trigger|negated|10
no \w+ evidence of|backward|termination|negated|10
no \w+ evidence of|forward|trigger|negated|10
no \w+ evidence to suggest|backward|termination|negated|10
no \w+ evidence to suggest|forward|trigger|negated|10
no \w+ evidence to|backward|termination|negated|10
no \w+ evidence to|forward|trigger|negated|10
no \w+ evidence|backward|termination|negated|10
no \w+ evidence|forward|trigger|negated|10
no \w+ evid|backward|termination|negated|10
no \w+ evid|forward|trigger|negated|10
no \w+ was given|forward|termination|negated|10
no abnormal|backward|termination|negated|10
no abnormal|forward|trigger|negated|10
no acute|backward|termination|negated|10
no acute|forward|trigger|negated|10
no additional significant|backward|termination|negated|10
no additional significant|forward|trigger|negated|10
no apparent|backward|termination|negated|10
no apparent|forward|trigger|negated|10
no cause of|backward|termination|negated|10
no cause of|forward|trigger|negated|10
no change|both|pseudo|negated|10
no complaints of|backward|termination|negated|10
no complaints of|forward|trigger|negated|10
no current|backward|termination|negated|10
no current|forward|trigger|negated|10
no definite change|both|pseudo|negated|10
no e/o|backward|termination|negated|10
no e/o|forward|trigger|negated|10
no e o|backward|termination|negated|10
no e o|forward|trigger|negated|10
no evidence of|backward|termination|negated|10
no evidence of|forward|trigger|negated|10
no evidence to suggest|backward|termination|negated|10
no evidence to suggest|forward|trigger|negated|10
no evidence|backward|termination|negated|10
no evidence|forward|trigger|negated|10
no findings of|backward|termination|negated|10
no findings of|forward|trigger|negated|10
no findings to indicate|backward|termination|negated|10
no findings to indicate|forward|trigger|negated|10
no findings to suggest|backward|termination|negated|10
no findings to suggest|forward|trigger|negated|10
no h o|backward|termination|negated|10
no h o|forward|trigger|negated|10
no history of|backward|termination|negated|10
no history of|forward|trigger|negated|10
no hx of|backward|termination|negated|10
no hx of|forward|trigger|negated|10
no increase|both|pseudo|negated|10
no indication of|backward|termination|negated|10
no indication of|forward|trigger|negated|10
no indications of|backward|termination|negated|10
no indications of|forward|trigger|negated|10
no interval change|both|pseudo|negated|10
no known history of|backward|termination|negated|10
no known history of|forward|trigger|negated|10
no known hx of|backward|termination|negated|10
no known hx of|forward|trigger|negated|10
no longer present|backward|trigger|negated|10
no longer present|forward|termination|negated|10
no longer|backward|termination|negated|10
no longer|forward|trigger|negated|10
no major|backward|termination|negated|10
no major|forward|trigger|negated|10
no mammographic evidence of|backward|termination|negated|10
no mammographic evidence of|forward|trigger|negated|10
no mention of|backward|termination|negated|10
no mention of|forward|trigger|negated|10
no new evidence|backward|termination|negated|10
no new evidence|forward|trigger|negated|10
no new|backward|termination|negated|10
no new|forward|trigger|negated|10
no other evidence|backward|termination|negated|10
no other evidence|forward|trigger|negated|10
no other symptoms of|backward|termination|negated|10
no other symptoms of|forward|trigger|negated|10
no other|backward|termination|negated|10
no other|forward|trigger|negated|10
no problems with '|backward|termination|negated|10
no problems with '|forward|trigger|negated|10
no radiographic evidence of|backward|termination|negated|10
no radiographic evidence of|forward|trigger|negated|10
no recurrent|backward|termination|negated|10
no recurrent|forward|trigger|negated|10
no reported mention|backward|termination|negated|10
no reported mention|forward|trigger|negated|10
no reported|backward|termination|negated|10
no reported|forward|trigger|negated|10
no residual|backward|termination|negated|10
no residual|forward|trigger|negated|10
no sign of|backward|termination|negated|10
no sign of|forward|trigger|negated|10
no significant change|both|pseudo|negated|10
no significant interval change|both|pseudo|negated|10
no significant|backward|termination|negated|10
no significant|forward|trigger|negated|10
no signs of|backward|termination|negated|10
no signs of|forward|trigger|negated|10
no signs or symptoms of|backward|termination|negated|10
no signs or symptoms of|forward|trigger|negated|10
no sign|backward|termination|negated|10
no sign|forward|trigger|negated|10
no suggestion of|backward|termination|negated|10
no suggestion of|forward|trigger|negated|10
no suspicious change|both|pseudo|negated|10
no suspicious|backward|termination|negated|10
no suspicious|forward|trigger|negated|10
no sxs of|backward|termination|negated|10
no sxs of|forward|trigger|negated|10
no visable|backward|termination|negated|10
no visable|forward|trigger|negated|10
non diagnostic|backward|trigger|negated|10
non diagnostic|forward|termination|negated|10
none|backward|termination|negated|10
none|forward|trigger|negated|10
nor all|backward|termination|negated|10
nor all|forward|trigger|negated|10
nor any|backward|termination|negated|10
nor any|forward|trigger|negated|10
nor|backward|termination|negated|10
nor|forward|trigger|negated|10
not a current|backward|termination|negated|10
not a current|forward|trigger|negated|10
not appear|backward|termination|negated|10
not appear|forward|trigger|negated|10
not appreciate|backward|termination|negated|10
not appreciate|forward|trigger|negated|10
not associated with|backward|termination|negated|10
not associated with|forward|trigger|negated|10
not attempted given|forward|termination|negated|10
not been ruled out|backward|trigger|uncertain|30
not cause|both|pseudo|negated|10
not certain if|both|pseudo|negated|10
not certain whether|both|pseudo|negated|10
not complain of|backward|termination|negated|10
not complain of|forward|trigger|negated|10
not current|backward|termination|negated|10
not current|forward|trigger|negated|10
not demonstrate|backward|termination|negated|10
not demonstrate|forward|trigger|negated|10
not drain|both|pseudo|negated|10
not exhibit|backward|termination|negated|10
not exhibit|forward|trigger|negated|10
not extend|both|pseudo|negated|10
not feel|backward|termination|negated|10
not feel|forward|trigger|negated|10
not had|backward|termination|negated|10
not had|forward|trigger|negated|10
not have evidence of|backward|termination|negated|10
not have evidence of|forward|trigger|negated|10
not have|backward|termination|negated|10
not have|forward|trigger|negated|10
not in acute|backward|termination|negated|10
not in acute|forward|trigger|negated|10
not interested|both|pseudo|negated|10
not in|backward|termination|negated|10
not in|forward|trigger|negated|10
not know of|backward|termination|negated|10
not know of|forward|trigger|negated|10
not known to have|backward|termination|negated|10
not known to have|forward|trigger|negated|10
not necessarily|both|pseudo|negated|10
not only|both|pseudo|negated|10
not on|both|pseudo|negated|10
not reveal|backward|termination|negated|10
not reveal|forward|trigger|negated|10
not ruled out|backward|trigger|uncertain|30
not see|backward|termination|negated|10
not see|forward|trigger|negated|10
not solve|both|pseudo|negated|10
not to be|backward|termination|negated|10
not to be|forward|trigger|negated|10
noted|both|termination|historical|30
noted|both|termination|nonpatient|30
not|backward|termination|negated|10
not|forward|trigger|negated|10
now resolved|backward|trigger|negated|10
now resolved|forward|termination|negated|10
no|backward|termination|negated|10
no|forward|trigger|negated|10
origin for|forward|termination|negated|10
origin of|forward|termination|negated|10
origins for|forward|termination|negated|10
origins of|forward|termination|negated|10
other possibilities of|forward|termination|negated|10
ought to be ruled out for|forward|trigger|uncertain|30
ought to be ruled out|backward|trigger|uncertain|30
past history|forward|trigger|historical|30
past medical history|forward|trigger|historical|30
patient continued to|forward|termination|negated|10
patient was not|backward|termination|negated|10
patient was not|forward|trigger|negated|10
patient's|both|termination|historical|30
patient's|both|termination|nonpatient|30
patient|both|termination|historical|30
patient|both|termination|nonpatient|30
poor history|both|pseudo|historical|30
possibility of|forward|trigger|uncertain|30
possible|forward|trigger|conditional|30
possible|forward|trigger|uncertain|30
possibly|forward|trigger|uncertain|30
poss|forward|trigger|uncertain|30
presenting|both|termination|historical|30
presenting|both|termination|nonpatient|30
presents|both|termination|historical|30
presents|both|termination|nonpatient|30
presumably|forward|trigger|uncertain|30
presumed to|forward|trigger|uncertain|30
prior to|forward|termination|negated|10
prn|forward|trigger|conditional|30
probable|forward|trigger|uncertain|30
probably|forward|trigger|uncertain|30
prophylaxis|backward|trigger|conditional|10
pt|both|termination|historical|30
pt|both|termination|nonpatient|30
question was|forward|trigger|uncertain|30
questioned|forward|trigger|uncertain|30
r o|forward|trigger|uncertain|30
rather than|backward|termination|negated|10
rather than|forward|trigger|negated|10
reason for|forward|termination|negated|10
reason of|forward|termination|negated|10
reasons for|forward|termination|negated|10
reasons of|forward|termination|negated|10
reported|both|termination|historical|30
reported|both|termination|nonpatient|30
reports|both|termination|historical|30
reports|both|termination|nonpatient|30
resolved|backward|termination|negated|10
resolved|forward|trigger|negated|10
return|forward|trigger|conditional|30
risk of|forward|trigger|conditional|30
roommate called|both|termination|historical|30
roommate called|both|termination|nonpatient|30
roommates called|both|termination|historical|30
roommates called|both|termination|nonpatient|30
roommates|forward|trigger|nonpatient|30
roommate|forward|trigger|nonpatient|30
ro|forward|trigger|uncertain|30
rule her out for|forward|trigger|uncertain|30
rule her out|forward|trigger|uncertain|30
rule him out for|forward|trigger|uncertain|30
rule him out|forward|trigger|uncertain|30
rule out for|forward|trigger|uncertain|30
rule out|forward|trigger|uncertain|30
rule the patient out|forward|trigger|uncertain|30
rule the patinet out for|forward|trigger|uncertain|30
ruled her out against|backward|termination|negated|10
ruled her out against|forward|trigger|negated|10
ruled her out for|backward|termination|negated|10
ruled her out for|forward|trigger|negated|10
ruled her out|backward|termination|negated|10
ruled her out|forward|trigger|negated|10
ruled him out against|backward|termination|negated|10
ruled him out against|forward|trigger|negated|10
ruled him out for|backward|termination|negated|10
ruled him out for|forward|trigger|negated|10
ruled him out|backward|termination|negated|10
ruled him out|forward|trigger|negated|10
ruled out against|backward|termination|negated|10
ruled out against|forward|trigger|negated|10
ruled out for|backward|termination|negated|10
ruled out for|forward|trigger|negated|10
ruled out|backward|termination|negated|10
ruled out|forward|trigger|negated|10
ruled the patient out against|backward|termination|negated|10
ruled the patient out against|forward|trigger|negated|10
ruled the patient out for|backward|termination|negated|10
ruled the patient out for|forward|trigger|negated|10
ruled the patient out|backward|termination|negated|10
ruled the patient out|forward|trigger|negated|10
rules her out for|backward|termination|negated|10
rules her out for|forward|trigger|negated|10
rules her out|backward|termination|negated|10
rules her out|forward|trigger|negated|10
rules him out for|backward|termination|negated|10
rules him out for|forward|trigger|negated|10
rules him out|backward|termination|negated|10
rules him out|forward|trigger|negated|10
rules out for|backward|termination|negated|10
rules out for|forward|trigger|negated|10
rules out|backward|termination|negated|10
rules out|forward|trigger|negated|10
rules the patient out for|backward|termination|negated|10
rules the patient out for|forward|trigger|negated|10
rules the patient out|backward|termination|negated|10
rules the patient out|forward|trigger|negated|10
s p|both|pseudo|uncertain|30
secondary to|forward|termination|negated|10
secondary|forward|termination|negated|10
she continued to|forward|termination|negated|10
should be ruled out for|forward|trigger|uncertain|30
should be ruled out|backward|trigger|uncertain|30
should he|forward|trigger|conditional|30
should she|forward|trigger|conditional|30
should the patient|forward|trigger|conditional|30
should there|forward|trigger|conditional|30
show a question of|forward|trigger|uncertain|30
shown a question of|forward|trigger|uncertain|30
since april|backward|trigger|historical|30
since august|backward|trigger|historical|30
since december|backward|trigger|historical|30
since fall|backward|trigger|historical|30
since february|backward|trigger|historical|30
since january|backward|trigger|historical|30
since july|backward|trigger|historical|30
since june|backward|trigger|historical|30
since march|backward|trigger|historical|30
since may|backward|trigger|historical|30
since november|backward|trigger|historical|30
since october|backward|trigger|historical|30
since september|backward|trigger|historical|30
since spring|backward|trigger|historical|30
since summer|backward|trigger|historical|30
since winter|backward|trigger|historical|30
sister's|forward|trigger|nonpatient|30
sisters|forward|trigger|nonpatient|30
sister|forward|trigger|nonpatient|30
sister called|both|termination|historical|30
sister called|both|termination|nonpatient|30
sister reported|both|termination|historical|30
sister reported|both|termination|nonpatient|30
sister reports|both|termination|historical|30
sister reports|both|termination|nonpatient|30
social history|both|pseudo|historical|30
son called|both|termination|historical|30
son called|both|termination|nonpatient|30
son reported|both|termination|historical|30
son reported|both|termination|nonpatient|30
son reports|both|termination|historical|30
son reports|both|termination|nonpatient|30
sons|forward|trigger|nonpatient|30
son|forward|trigger|nonpatient|30
source for|forward|termination|negated|10
source of|forward|termination|negated|10
sources for|forward|termination|negated|10
sources of|forward|termination|negated|10
speaking with family|both|termination|historical|30
speaking with family|both|termination|nonpatient|30
spoke with family|both|termination|historical|30
spoke with family|both|termination|nonpatient|30
states|both|termination|historical|30
states|both|termination|nonpatient|30
status post|both|pseudo|uncertain|30
still|forward|termination|negated|10
stopped taking|both|pseudo|negated|10
studies to assess|forward|trigger|uncertain|30
study to assess|forward|trigger|uncertain|30
sudden onset of|both|pseudo|historical|30
sufficient to rule her out against|backward|termination|negated|10
sufficient to rule her out against|forward|trigger|negated|10
sufficient to rule her out for|backward|termination|negated|10
sufficient to rule her out for|forward|trigger|negated|10
sufficient to rule her out|backward|termination|negated|10
sufficient to rule her out|forward|trigger|negated|10
sufficient to rule him out against|backward|termination|negated|10
sufficient to rule him out against|forward|trigger|negated|10
sufficient to rule him out for|backward|termination|negated|10
sufficient to rule him out for|forward|trigger|negated|10
sufficient to rule him out|backward|termination|negated|10
sufficient to rule him out|forward|trigger|negated|10
sufficient to rule out against|backward|termination|negated|10
sufficient to rule out against|forward|trigger|negated|10
sufficient to rule out for|backward|termination|negated|10
sufficient to rule out for|forward|trigger|negated|10
sufficient to rule out|backward|termination|negated|10
sufficient to rule out|forward|trigger|negated|10
sufficient to rule the patient out against|backward|termination|negated|10
sufficient to rule the patient out against|forward|trigger|negated|10
sufficient to rule the patient out for|backward|termination|negated|10
sufficient to rule the patient out for|forward|trigger|negated|10
sufficient to rule the patient out|backward|termination|negated|10
sufficient to rule the patient out|forward|trigger|negated|10
suggestive of|forward|trigger|uncertain|30
suggest|forward|trigger|uncertain|30
suspected|forward|trigger|uncertain|30
suspicion for|forward|trigger|uncertain|30
suspicious for|forward|trigger|uncertain|30
talked with family|both|termination|historical|30
talked with family|both|termination|nonpatient|30
talking with family|both|termination|historical|30
talking with family|both|termination|nonpatient|30
the presumed|forward|trigger|uncertain|30
though|forward|termination|negated|10
to evaluate for any|forward|trigger|uncertain|30
to exclude|backward|termination|negated|10
to exclude|forward|trigger|negated|10
to prevent|forward|trigger|conditional|30
today|both|termination|historical|30
today|both|termination|nonpatient|30
treatment of|both|pseudo|uncertain|30
trigger event for|forward|termination|negated|10
uncle's|forward|trigger|nonpatient|30
unclear dose|both|pseudo|uncertain|30
unclear|forward|trigger|uncertain|30
uncle|forward|trigger|nonpatient|30
unlikely|backward|trigger|negated|10
unlikely|forward|termination|negated|10
unremarkable for|backward|termination|negated|10
unremarkable for|forward|trigger|negated|10
use|forward|trigger|conditional|30
w/o evidence of|backward|termination|negated|10
w/o evidence of|forward|trigger|negated|10
w/o evidence|backward|termination|negated|10
w/o evidence|forward|trigger|negated|10
w/o|backward|termination|negated|10
w/o|forward|trigger|negated|10
w o evidence of|backward|termination|negated|10
w o evidence of|forward|trigger|negated|10
w o evidence|backward|termination|negated|10
w o evidence|forward|trigger|negated|10
w o|backward|termination|negated|10
w o|forward|trigger|negated|10
wants to|forward|trigger|conditional|30
was found negative|backward|trigger|negated|10
was found negative|forward|termination|negated|10
was found|both|termination|historical|30
was found|both|termination|nonpatient|30
was initially suspected|backward|trigger|uncertain|30
was instructed|both|termination|historical|30
was instructed|both|termination|nonpatient|30
was negative|backward|trigger|negated|10
was negative|forward|termination|negated|10
was noted to be negative|backward|trigger|negated|10
was noted to be negative|forward|termination|negated|10
was not|backward|termination|negated|10
was not|forward|trigger|negated|10
was ruled out|backward|trigger|negated|10
was ruled out|forward|termination|negated|10
was stopped by|forward|termination|negated|10
was stopped due to|forward|termination|negated|10
was stopped|backward|trigger|negated|10
was stopped|forward|termination|negated|10
was suspected|backward|trigger|uncertain|30
wasn't|backward|termination|negated|10
wasn't|forward|trigger|negated|10
were instructed|both|termination|historical|30
were instructed|both|termination|nonpatient|30
were stopped|backward|trigger|negated|10
were stopped|forward|termination|negated|10
were totally|forward|termination|negated|10
what must be ruled out is|forward|trigger|uncertain|30
whether or not|forward|trigger|uncertain|30
whether or not|forward|pseudo|negated|30
which|both|termination|historical|30
which|both|termination|nonpatient|30
while|forward|termination|negated|10
who are not present|forward|termination|negated|10
will be ruled out for|forward|trigger|uncertain|30
will be ruled out|backward|trigger|uncertain|30
with \w+ dad|both|termination|historical|30
with \w+ dad|both|termination|nonpatient|30
with \w+ daughter|both|termination|historical|30
with \w+ daughter|both|termination|nonpatient|30
with \w+ father|both|termination|historical|30
with \w+ father|both|termination|nonpatient|30
with \w+ mom|both|termination|historical|30
with \w+ mom|both|termination|nonpatient|30
with \w+ mother|both|termination|historical|30
with \w+ mother|both|termination|nonpatient|30
with \w+ son|both|termination|historical|30
with \w+ son|both|termination|nonpatient|30
with a question of|forward|trigger|uncertain|30
with no|backward|termination|negated|10
with no|forward|trigger|negated|10
without \w+ evidence|backward|termination|negated|10
without \w+ evidence|forward|trigger|negated|10
without abnormal|backward|termination|negated|10
without abnormal|forward|trigger|negated|10
without active|backward|termination|negated|10
without active|forward|trigger|negated|10
without additional|backward|termination|negated|10
without additional|forward|trigger|negated|10
without any evidence of|backward|termination|negated|10
without any evidence of|forward|trigger|negated|10
without any|backward|termination|negated|10
without any|forward|trigger|negated|10
without an|backward|termination|negated|10
without an|forward|trigger|negated|10
without apparent|backward|termination|negated|10
without apparent|forward|trigger|negated|10
without audible|backward|termination|negated|10
without audible|forward|trigger|negated|10
without a|backward|termination|negated|10
without a|forward|trigger|negated|10
without becoming|backward|termination|negated|10
without becoming|forward|trigger|negated|10
without being|backward|termination|negated|10
without being|forward|trigger|negated|10
without causing|backward|termination|negated|10
without causing|forward|trigger|negated|10
without difficulties|both|pseudo|uncertain|30
without difficulty|both|pseudo|negated|10
without difficulty|both|pseudo|uncertain|30
without diff|both|pseudo|uncertain|30
without evidence of|backward|termination|negated|10
without evidence of|forward|trigger|negated|10
without evidence|backward|termination|negated|10
without evidence|forward|trigger|negated|10
without experiencing|backward|termination|negated|10
without experiencing|forward|trigger|negated|10
without further|backward|termination|negated|10
without further|forward|trigger|negated|10
without gross|backward|termination|negated|10
without gross|forward|trigger|negated|10
without having|backward|termination|negated|10
without having|forward|trigger|negated|10
without increased|backward|termination|negated|10
without increased|forward|trigger|negated|10
without indication of|backward|termination|negated|10
without indication of|forward|trigger|negated|10
without left|backward|termination|negated|10
without left|forward|trigger|negated|10
without major|backward|termination|negated|10
without major|forward|trigger|negated|10
without maximally|backward|termination|negated|10
without maximally|forward|trigger|negated|10
without mention of|backward|termination|negated|10
without mention of|forward|trigger|negated|10
without much|backward|termination|negated|10
without much|forward|trigger|negated|10
without new|backward|termination|negated|10
without new|forward|trigger|negated|10
without noted|backward|termination|negated|10
without noted|forward|trigger|negated|10
without noticed|backward|termination|negated|10
without noticed|forward|trigger|negated|10
without not|forward|trigger|uncertain|30
without no|forward|trigger|uncertain|30
without obvious|backward|termination|negated|10
without obvious|forward|trigger|negated|10
without other|backward|termination|negated|10
without other|forward|trigger|negated|10
without painful|backward|termination|negated|10
without painful|forward|trigger|negated|10
without paraspinal|backward|termination|negated|10
without paraspinal|forward|trigger|negated|10
without peripheral|backward|termination|negated|10
without peripheral|forward|trigger|negated|10
without purulent|backward|termination|negated|10
without purulent|forward|trigger|negated|10
without reported|backward|termination|negated|10
without reported|forward|trigger|negated|10
without right|backward|termination|negated|10
without right|forward|trigger|negated|10
without sign of|backward|termination|negated|10
without sign of|forward|trigger|negated|10
without significant|backward|termination|negated|10
without significant|forward|trigger|negated|10
without signs of|backward|termination|negated|10
without signs of|forward|trigger|negated|10
without some|backward|termination|negated|10
without some|forward|trigger|negated|10
without success|backward|trigger|negated|10
without success|forward|termination|negated|10
without the|backward|termination|negated|10
without the|forward|trigger|negated|10
without upward|backward|termination|negated|10
without upward|forward|trigger|negated|10
without using|backward|termination|negated|10
without using|forward|trigger|negated|10
without visible|backward|termination|negated|10
without visible|forward|trigger|negated|10
without vital|backward|termination|negated|10
without vital|forward|trigger|negated|10
without which|backward|termination|negated|10
without which|forward|trigger|negated|10
without|backward|termination|negated|10
without|forward|trigger|negated|10
worried about|forward|trigger|uncertain|30
worrisome for|forward|trigger|uncertain|30
yet|forward|termination|negated|10
##
given|forward|termination|uncertain|4
##
given|forward|termination|conditional|4
##
with resolution of|forward|trigger|negated|5
##
call|forward|trigger|negated|5
##
negative|forward|trigger|negated|10
## if tokenize include punctuations
w / o evidence of|backward|termination|negated|10
w / o evidence of|forward|trigger|negated|10
w / o evidence|backward|termination|negated|10
w / o evidence|forward|trigger|negated|10
w / o|backward|termination|negated|10
w / o|forward|trigger|negated|10
f / h|forward|trigger|nonpatient|30
h / o|forward|trigger|historical|30
h / o|forward|trigger|nonpatient|30
no e / o|backward|termination|negated|10
no e / o|forward|trigger|negated|10
no h / o|backward|termination|negated|10
no h / o|forward|trigger|negated|10
r / o|forward|trigger|uncertain|30
\> 13 - day of|forward|trigger|historical|30
\> 13 - days of|forward|trigger|historical|30
\> 0 - month of|forward|trigger|historical|30
\> 0 - months of|forward|trigger|historical|30
\> 0 - year of|forward|trigger|historical|30
\> 0 - years of|forward|trigger|historical|30
\> 1 -week of|forward|trigger|historical|30
\> 1 -weeks of|forward|trigger|historical|30
dont|forward|trigger|negated|20
don t|forward|trigger|negated|20
high risk for|forward|trigger|negated|20
at risk for|forward|trigger|negated|20
don ' t|forward|trigger|negated|20
monitor for|forward|trigger|conditional|30
monitored for|forward|trigger|conditional|30

